edad,ingresos,historial_crediticio,deuda,horas_trabajo_semana,gasto_mensual,aprobado_credito
24,1258.24,5,1665.91,48.5,1195.71,0
49,2358.94,4,1959.7,41.9,1918.43,1
46,2030.97,4,1456.57,49.0,2039.65,1
56,1706.02,3,999.63,31.6,2140.01,0
49,1775.54,1,1517.78,41.9,1828.73,0
33,1407.13,4,983.93,39.9,1590.2,0
58,2067.64,2,1854.88,29.8,2088.9,0
35,1527.01,3,0.0,26.4,1520.28,0
31,1064.64,1,965.07,48.9,1364.95,0
56,1033.24,1,0.0,38.5,1811.87,0
33,1903.55,0,153.46,31.8,1725.32,1
21,2747.45,5,2154.7,41.0,1888.5,1
37,1895.99,0,1826.63,53.3,1151.97,0
51,1728.82,0,696.36,19.2,1655.36,0
25,1971.5,5,148.25,27.0,1396.57,0
37,2583.6,3,0.0,32.8,2035.73,1
23,1931.63,2,819.55,56.6,1431.11,0
46,1553.44,4,2894.29,44.8,1211.81,0
37,2463.77,2,1504.42,49.7,1692.93,1
31,2057.25,0,808.3,30.6,1520.1,0
27,2721.45,4,1525.56,30.8,2238.28,0
41,1909.94,1,107.33,46.5,2201.61,0
46,1065.32,3,991.87,42.6,1432.29,0
57,979.1,5,1269.63,47.5,1569.42,0
36,2790.56,5,1139.73,40.1,1826.41,0
24,2834.2,2,1753.56,44.8,1418.47,0
52,1692.29,4,1441.25,43.6,1802.77,1
44,1570.09,3,1667.83,49.8,1421.68,0
47,2676.87,2,718.14,50.1,2218.83,0
22,1135.77,0,1828.47,25.8,715.57,0
31,1263.16,2,2340.26,19.5,1020.54,0
50,2186.0,3,520.9,52.0,2132.36,0
52,1563.24,5,578.61,53.9,1939.04,1
36,1796.93,0,2135.05,31.8,1571.65,0
51,1701.93,4,1066.06,23.4,1617.2,0
53,2002.54,5,2182.67,43.0,2036.99,0
34,2644.49,5,890.23,51.3,1821.82,1
55,1854.35,2,2218.53,60.0,1966.52,0
30,2186.36,0,1292.04,47.2,1651.31,0
28,600.0,1,1380.76,38.3,692.56,0
46,1770.77,5,2295.3,33.1,1589.37,0
44,1294.06,5,946.76,42.1,1637.66,1
23,1068.71,3,541.21,39.0,1258.25,1
52,1273.11,0,886.01,31.8,1689.01,0
26,1599.53,0,1516.63,62.5,1583.53,0
51,2349.54,2,103.97,59.9,2423.68,0
18,1004.16,3,1646.23,53.4,852.0,0
51,1818.38,0,822.86,32.8,2068.0,0
51,1509.5,4,2003.47,50.6,2009.66,0
50,1603.4,3,0.0,48.4,2276.31,0
45,2401.65,0,649.4,46.4,1869.73,0
37,2122.87,0,19.47,54.5,1738.49,0
47,2602.44,2,621.64,48.4,2481.71,0
29,1707.3,4,1373.37,49.4,1233.77,0
50,1382.43,4,1074.54,48.4,1463.62,1
41,1665.68,2,1022.64,45.4,1577.36,0
37,1945.5,1,1088.57,24.2,1778.12,0
39,1905.94,5,1342.37,42.8,1672.98,1
41,1149.37,2,494.02,36.4,1394.35,0
19,1854.29,1,1694.79,29.2,1146.07,0
23,1936.94,2,1663.87,58.8,1249.63,0
28,3310.48,0,1469.53,59.3,1909.75,0
22,2926.11,1,1589.57,55.6,2194.91,0
36,1288.05,3,1407.49,44.6,1423.64,0
46,1627.57,5,2624.55,55.5,1706.25,0
45,921.93,4,1139.03,42.1,1322.49,0
37,1445.58,4,985.04,44.0,1471.46,0
53,1989.36,3,672.53,31.1,1930.39,0
41,2523.51,0,477.42,46.0,1613.28,0
21,1362.55,2,328.87,42.6,1012.76,0
50,1407.51,5,577.84,29.0,1445.9,0
42,600.0,0,1150.52,41.5,814.98,0
44,1702.4,5,1434.01,41.2,1469.76,0
41,1162.55,4,1235.8,60.0,1666.47,0
41,1482.34,1,664.13,50.9,1622.89,0
21,1273.88,4,1830.13,42.1,1275.72,0
41,1743.44,5,1717.59,44.5,1688.11,0
51,745.36,0,1088.25,42.4,1591.32,0
30,919.77,0,742.96,40.0,1024.99,0
43,3077.55,3,1583.9,31.2,2320.81,1
19,1027.55,5,1331.58,40.5,1094.95,0
32,1141.93,0,186.31,34.5,1279.46,0
36,2902.15,3,1152.41,29.5,2179.33,0
59,3543.04,0,1383.43,47.1,2835.98,1
27,1097.06,3,570.21,45.9,1129.42,0
29,1579.05,3,1332.89,24.1,1173.16,0
35,2004.93,0,181.62,40.8,1587.13,0
59,2837.22,4,2135.33,52.0,2362.96,0
53,1207.89,5,2073.56,52.6,1621.35,0
19,1652.83,5,1023.24,52.3,1120.75,0
27,2266.4,0,1454.42,42.4,1618.14,0
52,2060.86,1,0.0,33.5,2254.26,0
20,1574.31,1,390.56,31.2,1435.62,1
53,1719.71,2,994.35,45.4,2186.29,0
29,975.06,0,449.51,45.8,1457.44,0
56,1657.1,5,1700.08,54.9,1669.74,0
30,1640.17,4,2598.11,53.0,1570.14,0
36,1939.3,4,376.37,40.7,1671.77,0
45,1466.8,1,613.78,29.6,1890.48,0
23,2082.92,0,1364.81,38.8,1487.29,0
41,2407.63,5,2327.78,44.2,1745.68,0
39,1893.26,1,344.34,40.0,1480.46,0
50,2011.05,3,1374.33,36.2,1898.84,0
59,1831.89,5,2474.91,44.5,1603.72,0
45,1800.05,0,43.77,37.0,2084.88,0
35,1367.07,0,303.25,35.7,1790.8,0
35,1989.9,0,903.48,45.1,1563.9,0
35,1741.63,0,835.59,38.0,1665.57,1
52,3055.9,0,1768.82,44.4,2226.65,0
31,2744.01,4,1369.16,44.7,1783.06,0
25,2031.51,3,0.0,30.6,1792.64,0
32,1342.17,5,1560.79,37.2,1295.48,0
18,1132.55,4,795.72,56.4,1367.32,0
22,2514.69,5,2092.11,30.4,1464.31,0
21,1957.65,1,760.69,20.8,1638.81,0
50,2088.09,1,754.37,23.4,2054.01,0
48,753.25,5,1578.79,42.3,1484.15,0
47,2356.46,1,1734.05,42.3,1897.14,0
37,2072.65,0,1513.67,40.8,1695.95,0
48,1133.74,4,20.08,54.1,1666.97,1
24,1517.09,4,1576.62,15.3,1079.49,0
55,1958.23,5,475.98,46.0,2224.51,0
39,1831.48,5,1364.69,57.6,1774.5,0
57,1624.7,0,203.39,30.7,2140.81,0
24,1737.91,4,1512.43,38.2,1607.08,0
38,1648.81,5,635.38,34.5,1911.14,0
47,1891.54,4,302.16,33.1,1886.7,0
38,2682.9,4,1699.67,38.7,2024.0,0
36,600.0,5,1369.15,56.3,973.45,0
24,1657.89,2,770.22,60.4,1390.09,0
34,1905.91,0,2215.83,38.6,1388.63,0
28,1977.6,2,891.54,61.1,1869.22,0
30,1576.85,1,1222.48,42.4,1471.05,0
46,745.97,0,1388.24,59.5,1285.47,0
44,1996.8,0,766.23,41.1,2103.56,0
43,2836.41,4,1529.8,43.3,1741.01,1
33,879.68,3,826.58,45.7,851.74,0
58,2318.3,3,911.85,70.0,2401.51,0
21,1602.88,4,2153.85,50.5,1153.63,0
32,1763.21,3,471.59,34.9,1655.04,1
22,1168.26,3,0.0,51.7,997.92,0
32,1599.33,0,2327.66,38.4,1314.22,0
58,2580.03,5,2984.53,37.1,2480.1,0
33,2149.59,2,916.31,51.1,1885.23,1
56,2839.39,0,0.0,42.3,2581.09,0
38,2506.45,4,982.66,44.8,1889.76,1
47,2063.45,4,999.64,42.1,1871.67,0
37,2846.36,0,1067.05,45.4,1700.17,0
29,2063.4,1,420.63,46.2,1734.53,1
50,2296.79,0,1605.69,22.6,2174.16,0
58,1622.06,1,1567.16,48.7,1603.59,0
29,1839.93,0,153.92,32.2,1507.24,0
50,1381.55,4,1689.44,27.6,1419.17,0
28,2393.75,3,2636.88,41.4,1369.19,0
48,1093.02,5,1320.37,42.8,1524.25,1
51,2269.41,4,963.87,35.1,1730.3,1
36,1685.61,3,1100.6,50.3,1684.45,0
48,2502.75,3,1630.68,28.6,2205.17,0
29,2250.52,0,0.0,37.9,1772.02,0
21,2892.39,0,1315.07,36.2,1338.47,0
22,2238.46,3,926.68,41.5,1395.6,1
36,856.78,0,2493.48,44.8,1280.55,0
55,1759.83,0,1078.08,31.9,1449.72,0
